Tipo;Data_Inicio;Hora_Inicio;Data_Termino;Hora_Termino;Sistema_Operacional;Tempo(ns);Tempo(ms);Gasto_Memoria(bytes);Linhas_Lidas;Algoritmo;Interacoes;Troca_ou_Colisao
Semente 2;07/10/2018;21:03:26;07/10/2018;21:03:26;Windows 10;449250;16;1196493960;1000;Encadeamento Coalescido;48783;47394
Semente 2;07/10/2018;21:03:34;07/10/2018;21:03:34;Windows 10;1160679;0;1244885312;5000;Sondagem Linear;75780;73863
Semente 2;07/10/2018;21:03:34;07/10/2018;21:03:34;Windows 10;1353815;0;1244885312;5000;Sondagem Quadratica;87421;85504
Semente 2;07/10/2018;21:03:34;07/10/2018;21:03:34;Windows 10;979673;0;1244885312;5000;Duplo Hash;1917;0
Semente 2;07/10/2018;21:03:34;07/10/2018;21:03:34;Windows 10;1052916;0;1244885312;5000;Encadeamento Separado;1917;958
Semente 2;07/10/2018;21:03:34;07/10/2018;21:03:34;Windows 10;1094902;0;1244885312;5000;Encadeamento Coalescido;118523;116240
Semente 2;07/10/2018;21:03:42;07/10/2018;21:03:42;Windows 10;1764811;0;1310163680;10000;Sondagem Linear;120829;118718
Semente 2;07/10/2018;21:03:42;07/10/2018;21:03:42;Windows 10;3265111;0;1310163680;10000;Sondagem Quadratica;276028;273917
Semente 2;07/10/2018;21:03:42;07/10/2018;21:03:42;Windows 10;2199599;15;1310163680;10000;Duplo Hash;2111;0
Semente 2;07/10/2018;21:03:42;07/10/2018;21:03:42;Windows 10;1292236;0;1310163680;10000;Encadeamento Separado;2111;1055
Semente 2;07/10/2018;21:03:42;07/10/2018;21:03:42;Windows 10;1693435;0;1310163680;10000;Encadeamento Coalescido;232484;229896
Semente 2;07/10/2018;21:03:52;07/10/2018;21:03:52;Windows 10;1924358;0;1568467088;50000;Sondagem Linear;141810;139541
Semente 2;07/10/2018;21:03:52;07/10/2018;21:03:52;Windows 10;1858114;0;1568467088;50000;Sondagem Quadratica;113987;111718
Semente 2;07/10/2018;21:03:52;07/10/2018;21:03:52;Windows 10;1410263;0;1568467088;50000;Duplo Hash;2269;0
Semente 2;07/10/2018;21:03:52;07/10/2018;21:03:52;Windows 10;1358947;0;1568467088;50000;Encadeamento Separado;2269;1134
Semente 2;07/10/2018;21:03:52;07/10/2018;21:03:52;Windows 10;1885171;0;1568598448;50000;Encadeamento Coalescido;218943;216198
Semente 2;07/10/2018;21:04:03;07/10/2018;21:04:03;Windows 10;1949083;0;1535592536;100000;Sondagem Linear;144595;142314
Semente 2;07/10/2018;21:04:03;07/10/2018;21:04:03;Windows 10;2088570;0;1535592536;100000;Sondagem Quadratica;124394;122113
Semente 2;07/10/2018;21:04:03;07/10/2018;21:04:03;Windows 10;1312295;0;1535592536;100000;Duplo Hash;2281;0
