Semente 1;07/10/2018;15:23:54;07/10/2018;15:23:54;Windows 10;10295023;15;1528673576 bytes;50000;Merge Sort;55814;11160
Semente 1;07/10/2018;15:23:54;07/10/2018;15:23:54;Windows 10;8532534;0;1528673576 bytes;50000;Heap Sort;34812;10475
Semente 1;07/10/2018;15:23:54;07/10/2018;15:23:54;Windows 10;27925507;31;1528673576 bytes;50000;Shell Sort;49586;10237
Semente 1;07/10/2018;15:23:54;07/10/2018;15:23:54;Windows 10;10939279;16;1528673576 bytes;50000;Quick Sort Recursivo;32531;6527
Semente 1;07/10/2018;15:23:54;07/10/2018;15:23:54;Windows 10;12109762;16;1528673576 bytes;50000;Quick Sort Mediana de 3;50260;8395
Semente 1;07/10/2018;15:23:54;07/10/2018;15:23:54;Windows 10;11993600;15;1528673576 bytes;50000;Quick Sort Mediana de 5;65440;8395
Semente 1;07/10/2018;15:23:55;07/10/2018;15:23:55;Windows 10;12162944;16;1528673576 bytes;50000;Quick Sort Mediana de 7;86692;8395
Semente 1;07/10/2018;15:23:55;07/10/2018;15:23:55;Windows 10;11072702;16;1528673576 bytes;50000;Quick Sort Hibrido k10;32530;6527
Semente 1;07/10/2018;15:23:55;07/10/2018;15:23:55;Windows 10;11190729;0;1528673576 bytes;50000;Quick Sort Hibrido k100;32530;6527
Semente 1;07/10/2018;15:23:55;07/10/2018;15:23:55;Windows 10;10877233;16;1528673576 bytes;50000;Quick Sort Hibrido k1000;32530;6527
Semente 1;07/10/2018;15:24:05;07/10/2018;15:24:05;Windows 10;783261023;782;1620929792 bytes;100000;Bubble Sort;1657892;331939
Semente 1;07/10/2018;15:24:06;07/10/2018;15:24:06;Windows 10;449915561;453;1620934640 bytes;100000;Insertion Sort;334241;1150
Semente 1;07/10/2018;15:24:06;07/10/2018;15:24:06;Windows 10;10397190;16;1620934640 bytes;100000;Merge Sort;57063;11419
Semente 1;07/10/2018;15:24:06;07/10/2018;15:24:06;Windows 10;8791916;0;1620934640 bytes;100000;Heap Sort;35553;10700
